"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ma (10,C,ema,0)","MA ma (200,C,ma,0)"
"2026-01-30T08:00:00.000Z","191.21","194.49","189.47","191.13","-0.7168","-0.8829","179,489,463","188.48","167.76"
"2026-02-02T08:00:00.000Z","187.20","190.30","184.88","185.61","-2.89","-3.05","165,794,054","187.96","168.12"
"2026-02-03T08:00:00.000Z","186.24","186.27","176.23","180.34","-2.84","-3.01","204,019,589","186.57","168.50"
"2026-02-04T08:00:00.000Z","179.46","179.58","171.91","174.19","-3.41","-3.58","207,014,116","184.32","168.87"
"2026-02-05T08:00:00.000Z","174.93","176.81","171.03","171.88","-1.33","-1.49","206,312,890","182.06","169.24"
"2026-02-06T08:00:00.000Z","176.69","187.00","174.60","185.41","7.87","7.71","231,346,241","182.67","169.67"
"2026-02-09T08:00:00.000Z","184.26","193.66","183.95","190.04","2.50","2.33","196,387,351","184.01","170.11"
"2026-02-10T08:00:00.000Z","191.38","192.48","188.12","188.54","-0.7893","-0.9553","136,764,825","184.83","170.52"
"2026-02-11T08:00:00.000Z","192.45","193.26","188.77","190.05","0.8009","0.6349","144,192,685","185.78","170.92"
"2026-02-12T08:00:00.000Z","193.03","193.61","186.51","186.94","-1.64","-1.80","189,932,491","185.99","171.31"
"2026-02-13T08:00:00.000Z","187.47","187.50","181.59","182.81","-2.21","-2.38","161,888,021","185.41","171.68"
"2026-02-17T08:00:00.000Z","181.75","187.15","179.18","184.97","1.18","1.02","162,276,860","185.33","172.06"
"2026-02-18T08:00:00.000Z","188.75","190.37","186.76","187.98","1.63","1.46","164,749,125","185.81","172.44"
"2026-02-19T08:00:00.000Z","187.06","188.43","185.66","187.90","-0.0426","-0.2086","126,554,526","186.19","172.81"
"2026-02-20T08:00:00.000Z","186.57","190.33","185.94","189.82","1.02","0.8558","178,422,337","186.85","173.19"
"2026-02-23T08:00:00.000Z","191.40","193.95","189.57","191.55","0.9114","0.7454","171,584,839","187.71","173.58"
"2026-02-24T08:00:00.000Z","191.49","193.77","187.40","192.85","0.6787","0.5127","175,123,603","188.64","173.95"
"2026-02-25T08:00:00.000Z","194.45","197.63","193.79","195.56","1.41","1.24","250,637,103","189.90","174.35"
"2026-02-26T08:00:00.000Z","194.27","194.29","184.31","184.89","-5.46","-5.62","360,807,907","188.99","174.69"
"2026-02-27T08:00:00.000Z","181.25","182.59","176.38","177.19","-4.16","-4.33","311,636,494","186.84","174.96"
"2026-03-02T08:00:00.000Z","175.01","183.46","174.64","182.48","2.99","2.82","209,095,331","186.05","175.22"
"2026-03-03T08:00:00.000Z","178.49","180.90","176.92","180.05","-1.33","-1.50","178,099,430","184.96","175.44"
"2026-03-04T08:00:00.000Z","180.44","184.70","180.06","183.04","1.66","1.49","177,731,199","184.61","175.68"
"2026-03-05T08:00:00.000Z","181.17","184.06","177.88","183.34","0.1639","-0.0021","198,779,730","184.38","175.92"
"2026-03-06T08:00:00.000Z","179.84","182.76","176.82","177.82","-3.01","-3.18","189,021,949","183.19","176.14"
"2026-03-09T07:00:00.000Z","176.83","182.91","175.56","182.65","2.72","2.55","177,213,588","183.09","176.38"
"2026-03-10T07:00:00.000Z","182.40","186.44","182.01","184.77","1.16","0.9947","179,118,529","183.39","176.64"
"2026-03-11T07:00:00.000Z","185.91","187.62","184.45","186.03","0.6819","0.5159","145,280,386","183.87","176.91"
"2026-03-12T07:00:00.000Z","184.05","184.94","181.75","183.14","-1.55","-1.72","155,762,663","183.74","177.17"
"2026-03-13T07:00:00.000Z","184.92","186.09","179.94","180.25","-1.58","-1.74","160,988,425","183.11","177.39"
"2026-03-16T07:00:00.000Z","182.97","188.88","181.41","183.22","1.65","1.48","217,307,380","183.13","177.63"
"2026-03-17T07:00:00.000Z","185.06","185.40","181.68","181.93","-0.7041","-0.8701","182,497,758","182.91","177.85"
"2026-03-18T07:00:00.000Z","182.48","183.38","180.33","180.40","-0.8410","-1.01","156,683,136","182.45","178.07"
"2026-03-19T07:00:00.000Z","178.01","179.98","175.78","178.56","-1.02","-1.19","170,968,528","181.75","178.28"
"2026-03-20T07:00:00.000Z","178.00","178.26","171.72","172.70","-3.28","-3.45","241,323,529","180.10","178.44"
"2026-03-23T07:00:00.000Z","177.25","178.37","174.76","175.64","1.70","1.54","182,836,294","179.29","178.60"
"2026-03-24T07:00:00.000Z","174.83","176.22","173.98","175.20","-0.2505","-0.4165","147,667,844","178.55","178.78"
"2026-03-25T07:00:00.000Z","177.10","181.22","176.85","178.68","1.99","1.82","162,602,054","178.57","178.97"
